Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
,Midwinter Entertainment,2024-09-17,35,Behaviour Interactive, Console   ,Washington,Canada
,Evening Star,2024-09-13,6,, Indie     ,,United States
,Microsoft Gaming,2024-09-12,650, Microsoft                , Publisher ,Washington,United States
,Neon Machine,2024-09-12,35,, Indie     ,Washington,United States
,Midnight Society,2024-09-11,,, Online    ,California,United States
,Lost Boys Interactive,2024-09-06,139, Embracer Group           , Console   ,Wisconsin,Sweden
,Tilting Point,2024-09-02,90,, Mobile    ,New York,United States
,Ballistic Moon Ltd.,2024-08-30,,, Console   ,England,United Kingdom
,Ouka Studios,2024-08-28,,Netease, Console   ,Japan,China
,Toadman Interactive,2024-08-28,, Enad Global 7            , Console   ,Norway,Sweden
,Toadman Interactive,2024-08-28,100, Enad Global 7            , Console   ,Sweden,Sweden
, Visual Concepts           ,2024-08-23,22, TakeTwo Interactive      , Console   ,California,United States
,CodeName Entertainment,2024-08-16,6,, Indie     ,British Columbia,Canada
,Ubisoft San Francisco,2024-08-15,45, Ubisoft                  , Console   ,California,France
,Machine Zone,2024-08-15,,App Lovin, Mobile    ,California,United States
,Archiact,2024-08-12,12,, AR/VR     ,British Columbia,Canada
,Com2Us,2024-08-09,100,Com2Us, Mobile    ,South Korea,South Korea
, Ready at Dawn             ,2024-08-08,, Meta                     , AR/VR     ,California,United States
,Jam City,2024-08-02,85, Netmarble                , Mobile    ,California,South Korea
, probablyMonsters          ,2024-08-01,,, Console   ,Washington,United States
, Bungie                    ,2024-07-31,220, Sony                     , Console   ,Washington,Japan
,Lively Studio,2024-07-29,,Keywords Studios, Mobile    ,United Kingdom,Ireland
,Humble Games,2024-07-23,36,Ziff Davis, Publisher ,California,United States
,NetherRealm Studios,2024-07-17,50,Warner Brothers, Console   ,Illinois,United States
,Rumble Games,2024-07-12,35,Forte, Mobile    ,California,United States
,Splash Damage,2024-07-11,,Splash Damage Group Limited, Console   ,England,United Kingdom
,Wicked Games AG.,2024-07-03,15,, Indie     ,Switzerland,Switzerland
,Surgent Studios,2024-07-02,12,, Indie     ,England,United Kingdom
,Ubisoft Toronto,2024-06-27,33, Ubisoft                  , Console   ,Ottawa,France
,GameLoft Toronto,2024-06-26,49,Viacom, Mobile    ,Ottawa,France
,Paradox Tectonic,2024-06-18,18, Paradox Interactive      , Console   ,California,Sweden
,Techland,2024-06-18,,Tencent, Console   ,Poland,China
,Pieces Interactive AB,2024-06-17,40, Embracer Group           , Console   ,Sweden,Sweden
, Striking Distance Studios ,2024-06-14,10, Krafton                  , Console   ,California,South Korea
,Galvanic Games Inc.,2024-06-14,,, Indie     ,Washington,United States
,VRChat,2024-06-12,50,, AR/VR     ,California,United States
,Archiact,2024-06-12,,, AR/VR     ,British Columbia,Canada
,Sumo Group,2024-06-11,150,Tencent, Console   ,United Kingdom,China
,Timbre Games,2024-06-11,100,Tencent, Console   ,British Columbia,China
,GameLoft Kharkiv,2024-06-05,41,Vivendi, Mobile    ,Ukraine,France
,Behaviour Interactive,2024-06-04,95,, Console   ,Quebec,Canada
,Avalanche Studios,2024-06-03,,Avalanche Studios Group, Console   ,Quebec,Sweden
,Avalanche Studios,2024-06-03,50,Avalanche Studios Group, Console   ,New York,Sweden
,Fall Damage,2024-05-23,50,Fragbite, Online    ,Sweden,Sweden
,Hatchery Games,2024-05-23,13,, Indie     ,Quebec,Canada
,Singularity 6,2024-05-16,36,, Online    ,California,United States
, Phoenix Labs              ,0125-01-16,162,Forte, Console   ,British Columbia,United States
,GameLoft Cluj,2024-05-16,136,Vivendi, Mobile    ,Romania,France
,Studio Wildcard,2024-05-15,6,SDE Inc., Console   ,Washington,United States
,Mighty Kingdom,2024-05-13,25,, Mobile    ,Australia,Australia
,CI Games,2024-05-10,30,, Indie     ,Poland,Poland
,Dawon Interactive,2024-05-08,,Prytania Media, Indie     ,India,United States
, Lightforge Games          ,2024-05-08,35,, Online    ,California,United States
,Bethesda Softworks,2024-05-07,, Microsoft                , Publisher ,Maryland,United States
,Tango GameWorks,2024-05-07,150, Microsoft                , Console   ,Japan,United States
,Alpha Dog Games,2024-05-07,25, Microsoft                , Mobile    ,Nova Scotia,United States
,Arkane Austin,2024-05-07,60, Microsoft                , Console   ,Texas,United States
,Paladin Studios,2024-05-02,45,, Indie     ,Netherlands,Netherlands
,Playtika Belarus,2024-04-30,150,PlayTika,,Belarus,Israel
,Keoken Interactive,2024-04-30,13,, Indie     ,Netherlands,Netherlands
,NCSoft,2024-04-26,,NCSoft, Publisher ,South Korea,South Korea
,Bethesda France,2024-04-23,15, Microsoft                , Publisher ,France,United States
,Flaming Fowl Studios,2024-04-23,20,, Indie     ,England,United Kingdom
,ModernWolf,2024-04-18,6,, Publisher ,,
,TakeTwo Interactive,2024-04-17,600, TakeTwo Interactive      , Publisher ,,United States
,Kwalee,2024-04-16,40,, Mobile    ,England,United Kingdom
,Possibility Space,2024-04-12,50,Prytania Media, Indie     ,Louisiana,United States
,Ubisoft Korea,2024-04-09,, Ubisoft                  , Publisher ,South Korea,France
,Singularity 6,2024-04-04,49,, Online    ,California,California
,Relic Entertainment,2024-04-04,40,, Indie     ,British Columbia,Canada
,MI-CLOS Studio,2024-04-03,20,, Indie     ,France,France
,Whitethorn Games,2024-04-03,5,, Publisher ,Pennsylvania,United States
,Spearhead Games,2024-04-03,31,, Indie     ,Quebec,Canada
,Ubisoft,2024-04-02,45, Ubisoft                  , Publisher ,,France
,Bold Spirit Game Studio,2024-04-01,30,, Indie     ,Quebec,Canada
,Sega HARDLight,2024-03-28,, SEGA                     , Mobile    ,England,Japan
,Creative Assembly,2024-03-28,240, SEGA                     , Console   ,England,Japan
,Certain Affinity,2024-03-28,25,, Indie     ,Texas,Texas
, Gearbox Publishing        ,2024-03-28,, TakeTwo Interactive      , Publisher ,Texas,United States
,Smilegate Barcelona,2024-03-27,45,Smilegate, Console   ,Spain,South Korea
,Tarsier Studios,2024-03-22,, Embracer Group           , Console   ,Sweden,Sweden
,Velan Studios,2024-03-17,46,, Indie     ,New York,United States
,Happy Volcano,2024-03-17,8,, Indie     ,Belgium,Belgium
,Something Wicked Games,2024-03-15,40,, Indie     ,Maryland,United States
,Sega of America,2024-03-08,61, SEGA                     , Publisher ,California,United States
, Deviation Games           ,2024-03-08,50,, Console   ,California,United States
,ZA/UM,2024-03-06,24,, Indie     ,,United Kingdom
,Babaroga Games,2024-03-01,4,, Indie     ,Illinois,United States
,Radical Forge,2024-03-01,6,, Indie     ,England,United Kingdom
,FrogSong Studios,2024-03-01,25,, Indie     ,Sweden,Sweden
,505 Games,2024-02-29,,Digital Bros, Publisher ,Italy,Italy
,Keoken Interactive,2024-02-29,4,, Indie     ,Netherlands,Netherlands
,Wildlife Studios,2024-02-28,130,, Mobile    ,,Brazil
, Electronic Arts           ,2024-02-28,670, Electronic Arts          , Publisher ,,United States
, Deck Nine Games           ,2024-02-27,25,, Console   ,Colorado,United States
,PlayStation London,2024-02-27,,, Console   ,England,Japan
,PlayStation Studios,2024-02-27,900, Sony                     , Console   ,,Japan
,Die Gut Fabrik,2024-02-26,10,, Indie     ,Denmark,Denmark
,SuperMassive Games,2024-02-26,90,, Console   ,England,United Kingdom
,CodeMasters,2024-02-23,, Electronic Arts          , Mobile    ,England,United States
,GameLoft Lviv,2024-02-21,38,Viacom, Mobile    ,Ukraine,France
,Disruptive Games,2024-02-21,,, Console   ,California,United States
,Noggin,2024-02-16,,Paramount Global, Online    ,,United States
,Build a Rocket Boy,2024-02-19,,, Console   ,,United Kingdom
,Scopely,2024-02-14,15,Savvy Games Group, Mobile    ,California,Saudi Arabia
,Daybreak Games,2024-02-12,15, Enad Global 7            , Online    ,California,Sweden
,Genvid Technologies,2024-02-12,,, Online    ,,United States
,Threshold Games,2024-02-09,11,, Indie     ,,United States
,GameScience,2024-02-07,10,Prytania Media, Indie     ,,United States
,Hidden Path Entertainment,2024-02-07,44,, Indie     ,Washington,United States
,91Act,2024-02-07,15,, Indie     ,,China
,Cloud Imperium Games,2024-02-06,,, Indie     ,,United States
, Visual Concepts           ,2024-02-06,, TakeTwo Interactive      , Console   ,Texas,United States
,Crop Circle Games,2024-02-05,,Prytania Media, Indie     ,,United States
,Chimera Entertainment,2024-02-01,20,Remote Control Productions, Mobile    ,,
,Threaks,2024-02-01,25,, Indie     ,Germany,Germany
,Artificer,2024-01-31,,Devolver Digital, Console   ,,
,Airship Syndicate,2024-01-31,12,, Indie     ,Texas,United States
,Rovio Montreal,2024-01-31,12, SEGA                     , Mobile    ,,Japan
,Starword Industries,2024-01-30,15,, Console   ,Poland,Poland
,Nimble Giant,2024-01-30,, Embracer Group           , Console   ,,Sweden
,Black Forest Games,2024-01-25,40, Embracer Group           , Console   ,,Sweden
,Plarium,2024-01-24,45, Aristocrat Games         , Mobile    ,,
,Little Red Dog Games,2024-01-22,30,, Console   ,,
,Chief Rebel,2024-01-19,,, Indie     ,,
,Warducks,2024-01-23,10,, Mobile    ,Ireland,Ireland
,People Can Fly Studios,2024-01-24,30,, Console   ,,
,Eidos Montreal,2024-01-29,97, Embracer Group           , Console   ,Quebec,Sweden
, Activision Blizzard       ,2024-01-25,1900, Microsoft                , Console   ,,United States
, Riot Games                ,2024-01-22,530,Tencent, Online    ,California,China
,Metaverse World,2024-01-19,70, Netmarble                , Online    ,South Korea,South Korea
,Ntreev Soft,2024-01-18,70,NCSoft, Online    ,South Korea,South Korea
,31st Union,2024-01-18,, TakeTwo Interactive      , Console   ,,United States
,CI Games,2024-01-18,30,, Console   ,,
,Behaviour Interactive,2024-01-18,45,, Console   ,Quebec,Canada
,Wimo Games,2024-01-17,20,, Online    ,Texas,United States
,Netspeak Games,2024-01-17,25,, Indie     ,,
,Thunderful Group,2024-01-17,75,Thunderful Group, Publisher ,,Sweden
,Pixelberry,2024-01-17,,Nexon, Mobile    ,California,South Korea
,Prahna Bytes,2024-01-16,, Embracer Group           , Console   ,,Sweden
,PTW,2024-01-16,45,, Publisher ,,
,Nesting Games,2024-01-12,68,Digital Bros, Console   ,Quebec,Italy
,Lost Boys Interactive,2024-01-12,125, Embracer Group           , Console   ,Wisconsin,Sweden
,Playtika,2024-01-11,350,PlayTika, Mobile    ,Israel,Israel
, Twitch                    ,2024-01-10,500, Amazon                   , Online    ,California,United States
, Unity Technologies        ,2024-01-08,1800,Unity, Tech      ,California,United States
,Sliptegate Iron Works,2024-01-03,, Embracer Group           , Console   ,Sweden,Sweden
,Archiact,2024-01-02,20,, AR/VR     ,British Columbia,Canada
